created_date,complaint_type,borough,descriptor,latitude,longitude
2025-05-09 02:09:33,Graffiti,BROOKLYN,Graffiti,40.688375522889395,-73.95782989505683
2025-05-09 02:03:45,Graffiti,BROOKLYN,Graffiti,40.68824970363027,-73.95904874073629
2025-05-09 01:59:50,Graffiti,BROOKLYN,Graffiti,40.68823602078318,-73.9591641352559
2025-05-09 01:50:47,Noise - Street/Sidewalk,BRONX,Loud Talking,40.81780154329236,-73.88829108282302
2025-05-09 01:50:31,Illegal Parking,QUEENS,Blocked Hydrant,40.735063872768016,-73.88523640093186
2025-05-09 01:50:07,Noise - Vehicle,BROOKLYN,Car/Truck Music,40.62883350891303,-73.9678971744
2025-05-09 01:49:47,Illegal Parking,BROOKLYN,Posted Parking Sign Violation,40.63858420713704,-73.97257655628725
2025-05-09 01:49:40,Noise - Commercial,BROOKLYN,Loud Music/Party,40.697947965452556,-73.93694672836828
2025-05-09 01:49:31,Noise - Park,QUEENS,Loud Talking,40.777312121014575,-73.92279730348663
2025-05-09 01:48:45,Noise - Residential,QUEENS,Banging/Pounding,40.78191853682074,-73.78341866027448
2025-05-09 01:47:47,Blocked Driveway,QUEENS,No Access,40.74788638677145,-73.83097391248215
2025-05-09 01:46:50,Homeless Person Assistance,BROOKLYN,Non-Chronic,40.70577046447746,-73.93679145195873
2025-05-09 01:46:38,Illegal Parking,QUEENS,Blocked Hydrant,40.738924244377216,-73.87333232169829
2025-05-09 01:46:36,Noise - Residential,BROOKLYN,Loud Music/Party,40.69218623714863,-73.93134840585562
2025-05-09 01:46:28,Noise - Commercial,MANHATTAN,Loud Music/Party,40.814321508112734,-73.95929991729793
2025-05-09 01:46:09,Homeless Person Assistance,MANHATTAN,Non-Chronic,40.75889794131932,-73.98579606268117
2025-05-09 01:45:35,Illegal Parking,QUEENS,Blocked Hydrant,40.735063872768016,-73.88523640093186
2025-05-09 01:45:29,Illegal Parking,BROOKLYN,Posted Parking Sign Violation,40.694317907496355,-73.97710098115013
2025-05-09 01:45:10,Illegal Parking,BROOKLYN,Blocked Hydrant,40.713474234579785,-73.96813416180751
2025-05-09 01:44:57,Illegal Parking,BROOKLYN,Blocked Hydrant,40.63720640715453,-73.97292661917737
2025-05-09 01:43:48,Illegal Parking,QUEENS,Blocked Hydrant,40.707486200874264,-73.89873385946711
2025-05-09 01:42:39,Illegal Parking,QUEENS,Double Parked Blocking Traffic,40.74054850480287,-73.75414256655647
2025-05-09 01:41:32,Illegal Dumping,QUEENS,Removal Request,40.77812347845832,-73.77671150126093
2025-05-09 01:41:23,Noise - Street/Sidewalk,BROOKLYN,Loud Music/Party,40.62883350891303,-73.9678971744
2025-05-09 01:41:17,Encampment,MANHATTAN,N/A,40.73981986707916,-73.99309312543477
2025-05-09 01:40:47,Noise - Commercial,BROOKLYN,Loud Music/Party,40.61558652160902,-74.03426479360745
2025-05-09 01:39:58,Noise - Commercial,BROOKLYN,Loud Music/Party,40.67141400741232,-73.98442680473981
2025-05-09 01:39:06,Homeless Person Assistance,MANHATTAN,Non-Chronic,40.73911722130485,-73.99327362674066
2025-05-09 01:38:22,Noise - Residential,BROOKLYN,Loud Music/Party,40.63825058438901,-73.945304714947
2025-05-09 01:37:47,Noise - Helicopter,BROOKLYN,NYPD,40.63351652569548,-73.96939010826142
2025-05-09 01:37:40,Illegal Parking,BROOKLYN,Posted Parking Sign Violation,40.630022144321636,-73.88882876449019
2025-05-09 01:37:35,Illegal Parking,BROOKLYN,Posted Parking Sign Violation,40.631928328276544,-73.99176766280867
2025-05-09 01:37:24,Noise - Residential,BROOKLYN,Banging/Pounding,40.65750948768938,-73.92807908053268
2025-05-09 01:35:14,Noise - Commercial,BROOKLYN,Loud Music/Party,40.67141400741232,-73.98442680473981
